"SITE_ID","VISIT_NO","MCYST_TL_UGL","BASINAREA_KM2","PCT_OPENH20_BSN","PCT_ICESNOW_BSN","PCT_WATER_BSN","PCT_DEVOPEN_BSN","PCT_DEVLOW_BSN","PCT_DEVMED_BSN","PCT_DEVHIGH_BSN","PCT_DEVELOPED_BSN","PCT_BARREN_BSN","PCT_DECID_BSN","PCT_CONIF_BSN","PCT_MIXED_BSN","PCT_FOREST_BSN","PCT_SHRUBLAND_BSN","PCT_GRASS_BSN","PCT_PASTURE_BSN","PCT_CROPS_BSN","PCT_AGRIC_BSN","PCT_WDYWET_BSN","PCT_EMHERBWET_BSN","PCT_WETLAND_BSN","SECMEAN","DATE_COL","LAT_DD","LON_DD","LAKEAREA","LAKENAME","AREA_HA","DEPTHMAX","ELEV_PT","HUC_2","HUC_8","COND","ANC","TURB","TOC","DOC","NO3_NO2","NTL","PTL","CL","SO4","NO3","CA","MG","NA.","K","COLOR","SIO2","NH4ION","CHLA","DEPTH_SURF","TEMP_SURF","DO_SURF","COND_SURF","PH_SURF","DEPTH_BOT","TEMP_BOT","DO_BOT","COND_BOT","PH_BOT"
"NLA06608-0001",1,0.05,3.757720078,16.8,14.7,31.5,0,0,0,0,0,19.1,0.1,40,1.8,41.9,7.5,0.1,0,0,0,0,0,0,6.4,"7/31/2007",48.97902855,-114.0218399,0.662930555,"Lake Wurdeman",66.2930555,8.3,1605.73,10,10010001,96.28,924.3,0.474,0.37,0.63,0.12,151,6,1.5,46.34532,9.352483,695.107,242.255872,10.96139772,3.3505346,6,1.182,0.698985573,0.24,0,16.3,8.3,150,8.1,8,10.2,11,143,8.4
"NLA06608-0002",1,0.05,2.290436081,0,0,0,1,0,0,0,1,0,0,59.9,0,59.9,1.6,4.5,0.3,0,0.3,28.9,3.9,32.8,0.55,"6/14/2007",33.03606404,-79.98379054,0.144379981,"Crane Pond",14.43799807,2.3,4.9,3,3050201,44.8,104.48,3.55,15.9,14.02,0.005,695,36,178.008066,17.03076,0.5,170.3586,63.7732,109.8749629,3.8876432,71,1.695,1.355704612,3.84,0,29.19,NA,52.9,5.5,1.9,17.2,NA,76.8,5.7
"NLA06608-0003",1,0.05,4.837379808,1.4,0,1.4,8.1,3.1,0.1,0,11.3,0.5,9.2,1,0.1,10.3,27.1,4.9,11.6,32.5,44.1,0.2,0.2,0.4,0.71,"8/29/2007",28.04774206,-97.85986605,0.057017366,"Wilderness Lake",5.701736559,2.5,17.6,12,12110111,1089,4746.01,7.67,6.75,6,0.005,738,43,4889.143422,1029.6531,0.5,2572.345,782.805744,7172.755889,147.7815948,18,45.248,0.559742856,16.96,0,30.6,8.3,1132,8.4,2,29.4,4,1144,8
"NLA06608-0004",1,0.05,4.702661694,7.7,0,7.7,0.4,0,0,0,0.4,0,3.4,33.6,0,37,50.1,1.1,1.4,0.3,1.7,1.7,0.1,1.8,1.8,"7/10/2007",37.41662013,-108.4045832,0.653863092,"Puett Reservoir",65.38630923,6.3,2213,14,14080202,303.3,1656.42,3.81,9.09,8,0.005,344,18,50.827212,1254.46746,0.5,1698.097,704.138416,482.823471,37.6487552,13,2.763,1.573215454,4.6,0,20.6,6.7,296,8.2,5.7,19,2.2,296,7.8
"NLA06608-0005",1,0.05,87.07638265,4.5,0.9,5.4,0,0,0,0,0,0.6,0,46.6,0,46.6,11.6,33.6,0,0,0,1.4,0.8,2.2,NA,"7/18/2007",43.92920926,-114.8403862,0.194876125,"Perkins Lake",19.48761255,6.1,2138,17,17060201,52.62,420.91,0.475,1.79,1.45,0.005,85,4,7.389972,57.7755,0.5,402.7928,25.591568,52.6321081,6.3174202,7,6.166,0.486051849,1.205,0,20.1,8.12,40.1,7.51,5.6,19.9,7.8,40.8,8
"NLA06608-0006",1,0.18,23.08342257,5.1,0,5.1,5.3,0.7,0,0,6,0,64.4,3.2,0.7,68.3,0.6,0,17.6,1,18.6,1.2,0.1,1.3,3.21,"7/17/2007",41.68314624,-73.1465177,0.561997482,"Morris Reservoir",56.19974819,25.3,198.75,1,1100005,74.74,291.48,0.901,3.49,3.16,0.005,184,7,206.411508,143.53308,0.5,252.6437,210.739568,180.7325696,30.436154,2,2.482,1.135752261,4.08,0,25.3,8.56,77,8.15,24,5.46,1.83,87,6.6
"NLA06608-0007",1,0.05,9.127280415,9.3,0,9.3,3.3,0,0,0,3.3,0,54.6,9.2,0,63.8,0.1,1,8,2.3,10.3,1.6,10.7,12.3,3.15,"7/24/2007",45.58064546,-92.04001797,0.254747633,"Spring Lake",25.4747633,19.2,390.86,7,7050007,26.65,96.04,1.05,6.99,6.68,0.005,493,8,40.8987,78.82452,0.5,76.6963,57.930752,26.35955166,38.0835574,10,0.091,0.927562797,2.432,0,26.7,8.17,34.2,7.15,18.5,4.8,0.71,39.4,5.76
"NLA06608-0008",1,0.05,13.32280668,7.7,0,7.7,6.1,1.1,0,0,7.2,0.1,33.5,0.6,0.5,34.6,0.2,7.5,19.9,21.9,41.8,0.7,0.2,0.9,0.79,"7/12/2007",41.29211104,-93.59040488,0.487370362,"Lake Ahquabi",48.7370362,5.5,261.56,7,7100008,238.1,1933.62,8.62,8.66,7.6,0.005,801,66,285.698574,207.8877,0.5,1263.967,723.72296,253.9825448,82.3054988,10,3.789,1.488180959,30.24,0,27.3,6.6,NA,8.7,4.8,18,0.1,NA,7.4
"NLA06608-0010",1,0.05,2.93251514,10.9,0,10.9,38.1,15.4,0.3,0,53.8,0,19.9,0.2,0.7,20.8,0,1.7,2.5,0.7,3.2,9.6,0.2,9.8,4.48,"7/17/2007",42.61823014,-83.50588771,0.300373324,"Bogie Lake",30.03733238,11.8,284.65,4,4090005,650.1,2089.55,3.05,4.96,4.94,0.005,473,10,3628.27881,429.97464,0.5,1275.943,1644.11424,2780.802207,37.597602,4,3.131,0.951585825,4.384,0,23.8,10,626,8.4,11.8,8.6,0.2,728,7
"NLA06608-0012",1,0.05,83.21774471,2.7,0,2.7,4.3,0.6,0,0,4.9,0,10.8,2.6,0,13.4,0,61.1,8.1,9.7,17.8,0,0,0,0.31,"6/13/2007",35.99078823,-96.87178731,1.776575126,"Cushing Lake",177.6575126,3.5,255.6,11,11050003,219.5,1769.64,50.3,8.71,8.01,0.279,1026,159,236.056014,174.42996,20.70397,952.591,712.61408,336.0190373,112.3835804,40,10.202,5.449430416,4.9,0.1,26.77,5.46,196.2,7.47,3.5,25.93,3.7,203.2,7.21
